Run,NBX
251027,110
251028,110
251131,110
251134,110
251143,110
251147,110
251149,110
251150,110
251153,110
251155,110
251156,110
251160,110
251161,110
251162,110
251163,110
251164,110
251167,110
251168,110
251244,110
251250,110
251251,110
251252,110
251496,254
251497,254
251498,254
251499,254
251500,254
251521,254
251522,254
251548,254
251559,254
251560,254
251561,254
251562,254
251638,414
251642,414
251643,414
251717,414
251718,414
251721,414
251883,256
252116,420
252126,420
254227,26
254229,26
254231,26
254232,26
254790,303
254833,254
254852,447
254879,446
254905,446
254906,446
254907,446
254914,446
254980,30
254986,30
254987,30
254989,30
254991,30
254992,30
254993,30
255003,8
255019,8
255029,8
255031,8
256630,1021
256673,1021
256674,1021
256675,1021
256676,1021
256677,1021
256728,1021
256729,1021
256734,1021
256801,1128
256842,1021
256843,1021
256866,1165
256867,1165
256868,1165
256869,1165
256926,1165
256936,1165
256941,1165
257394,1165
257395,1165
257396,1165
257397,1165
257398,1165
257399,1165
257400,1165
257461,1309
257487,1309
257490,1309
257531,1309
257599,1309
257613,1309
257614,1309
257645,1309
257682,881
257721,881
257722,881
257723,881
257725,881
257732,881
257733,881
257734,881
257735,881
257748,1291
257751,1309
257804,1453
257805,1453
257816,1453
257819,1453
257821,1453
257822,1453
257823,1453
257968,1453
257969,1453
258129,1453
258136,1453
258157,1453
258158,1453
258159,1453
258174,1453
258175,1453
258177,1453
258211,1452
258213,1452
258214,1452
258215,1452
258287,1596
258312,1596
258313,1596
258320,1596
258335,1596
258403,1596
258425,1596
258426,1596
258427,1596
258428,1596
258432,1596
258434,1596
258440,1596
258443,1596
258444,1596
258445,1596
258446,1596
258448,1596
258655,1813
258656,1813
258694,1813
258702,1813
258703,1813
258705,1813
258706,1813
258712,1813
258713,1813
258714,1813
258741,1813
258742,1813
258745,1813
258749,1813
258750,1813
259152,42
259157,42
259158,42
259159,42
259161,42
259162,42
259163,42
259164,42
259167,42
259199,240
259200,240
259201,240
259202,240
259204,240
259205,240
259207,240
259208,240
259236,671
259237,671
259351,671
259352,671
259384,671
259385,671
259388,671
259399,671
259429,671
259431,671
259464,1
259626,589
259636,1596
259637,1596
259681,1813
259682,1813
259683,1813
259685,1813
259686,1813
259721,517
259809,1813
259810,1813
259811,1813
259812,1813
259813,1813
259817,1813
259818,1813
259820,1813
